nationality	level	adaptation	story_read	frequency
0	0	0	1	2
0	0	0	0	508
0	0	1	1	7
0	0	1	0	526
0	0	2	1	5
0	0	2	0	512
0	1	0	1	7
0	1	0	0	574
0	1	1	1	9
0	1	1	0	496
0	1	2	1	5
0	1	2	0	547
0	2	0	1	6
0	2	0	0	480
0	2	1	1	3
0	2	1	0	496
0	2	2	1	4
0	2	2	0	510
0	3	0	1	7
0	3	0	0	540
0	3	1	1	7
0	3	1	0	526
0	3	2	1	3
0	3	2	0	577
1	0	0	1	1
1	0	0	0	148
1	0	1	1	0
1	0	1	0	138
1	0	2	1	1
1	0	2	0	141
1	1	0	1	2
1	1	0	0	144
1	1	1	1	0
1	1	1	0	126
1	1	2	1	0
1	1	2	0	136
1	2	0	1	1
1	2	0	0	135
1	2	1	1	4
1	2	1	0	126
1	2	2	1	1
1	2	2	0	141
1	3	2	1	1
1	3	2	0	121
1	3	1	1	0
1	3	1	0	138
1	3	0	1	0
1	3	0	0	129
