nationality	level	adaptation	story_read	frequency
0	0	0	1	10
0	0	0	0	500
0	0	1	1	8
0	0	1	0	525
0	0	2	1	9
0	0	2	0	508
0	1	0	1	11
0	1	0	0	570
0	1	1	1	8
0	1	1	0	497
0	1	2	1	10
0	1	2	0	542
0	2	0	1	9
0	2	0	0	477
0	2	1	1	8
0	2	1	0	491
0	2	2	1	11
0	2	2	0	503
0	3	0	1	12
0	3	0	0	535
0	3	1	1	8
0	3	1	0	525
0	3	2	1	12
0	3	2	0	568
1	0	0	1	0
1	0	0	0	149
1	0	1	1	1
1	0	1	0	137
1	0	2	1	0
1	0	2	0	142
1	1	0	1	3
1	1	0	0	143
1	1	1	1	0
1	1	1	0	126
1	1	2	1	3
1	1	2	0	133
1	2	0	1	2
1	2	0	0	134
1	2	1	1	1
1	2	1	0	129
1	2	2	1	1
1	2	2	0	141
1	3	2	1	0
1	3	2	0	122
1	3	1	1	1
1	3	1	0	137
1	3	0	1	0
1	3	0	0	129
