nationality	level	adaptation	story_read	frequency
mx	symbols	es	yes	48
mx	symbols	es	no	385
mx	symbols	ne	yes	57
mx	symbols	ne	no	415
mx	symbols	mx	yes	61
mx	symbols	mx	no	382
mx	dialect	es	yes	58
mx	dialect	es	no	437
mx	dialect	ne	yes	57
mx	dialect	ne	no	380
mx	dialect	mx	yes	58
mx	dialect	mx	no	419
mx	ugc	es	yes	54
mx	ugc	es	no	367
mx	ugc	ne	yes	55
mx	ugc	ne	no	371
mx	ugc	mx	yes	40
mx	ugc	mx	no	405
mx	all	es	yes	50
mx	all	es	no	430
mx	all	ne	yes	57
mx	all	ne	no	415
mx	all	mx	yes	56
mx	all	mx	no	461
es	symbols	es	yes	25
es	symbols	es	no	115
es	symbols	ne	yes	18
es	symbols	ne	no	110
es	symbols	mx	yes	14
es	symbols	mx	no	111
es	dialect	es	yes	16
es	dialect	es	no	123
es	dialect	ne	yes	15
es	dialect	ne	no	105
es	dialect	mx	yes	24
es	dialect	mx	no	103
es	ugc	es	yes	15
es	ugc	es	no	112
es	ugc	ne	yes	13
es	ugc	ne	no	100
es	ugc	mx	yes	15
es	ugc	mx	no	112
es	all	es	yes	14
es	all	es	no	108
es	all	ne	yes	18
es	all	ne	no	110
es	all	mx	yes	13
es	all	mx	no	102
