nationality	level	adaptation	story_read	frequency
0	0	0	1	48
0	0	0	0	385
0	0	1	1	57
0	0	1	0	415
0	0	2	1	61
0	0	2	0	382
0	1	0	1	58
0	1	0	0	437
0	1	1	1	57
0	1	1	0	380
0	1	2	1	58
0	1	2	0	420
0	2	0	1	54
0	2	0	0	367
0	2	1	1	55
0	2	1	0	371
0	2	2	1	40
0	2	2	0	405
0	3	0	1	50
0	3	0	0	430
0	3	1	1	57
0	3	1	0	415
0	3	2	1	56
0	3	2	0	461
1	0	0	1	25
1	0	0	0	115
1	0	1	1	18
1	0	1	0	110
1	0	2	1	14
1	0	2	0	111
1	1	0	1	16
1	1	0	0	124
1	1	1	1	15
1	1	1	0	105
1	1	2	1	24
1	1	2	0	103
1	2	0	1	15
1	2	0	0	112
1	2	1	1	13
1	2	1	0	100
1	2	2	1	15
1	2	2	0	112
1	3	2	1	13
1	3	2	0	102
1	3	1	1	18
1	3	1	0	110
1	3	0	1	14
1	3	0	0	109
