nationality	level	adaptation	story_read	frequency
0	0	0	1	33
0	0	0	0	477
0	0	1	1	32
0	0	1	0	501
0	0	2	1	39
0	0	2	0	478
0	1	0	1	35
0	1	0	0	546
0	1	1	1	33
0	1	1	0	472
0	1	2	1	31
0	1	2	0	521
0	2	0	1	36
0	2	0	0	450
0	2	1	1	41
0	2	1	0	458
0	2	2	1	33
0	2	2	0	481
0	3	0	1	36
0	3	0	0	511
0	3	1	1	32
0	3	1	0	501
0	3	2	1	27
0	3	2	0	553
1	0	0	1	6
1	0	0	0	143
1	0	1	1	11
1	0	1	0	127
1	0	2	1	2
1	0	2	0	140
1	1	0	1	8
1	1	0	0	138
1	1	1	1	8
1	1	1	0	118
1	1	2	1	8
1	1	2	0	128
1	2	0	1	3
1	2	0	0	133
1	2	1	1	7
1	2	1	0	123
1	2	2	1	6
1	2	2	0	136
1	3	2	1	11
1	3	2	0	111
1	3	1	1	11
1	3	1	0	127
1	3	0	1	8
1	3	0	0	121
