nationality	level	adaptation	story_read	frequency
0	0	0	1	14
0	0	0	0	496
0	0	1	1	2
0	0	1	0	531
0	0	2	1	8
0	0	2	0	509
0	1	0	1	6
0	1	0	0	575
0	1	1	1	6
0	1	1	0	499
0	1	2	1	7
0	1	2	0	545
0	2	0	1	9
0	2	0	0	477
0	2	1	1	4
0	2	1	0	495
0	2	2	1	5
0	2	2	0	509
0	3	0	1	5
0	3	0	0	542
0	3	1	1	2
0	3	1	0	531
0	3	2	1	5
0	3	2	0	575
1	0	0	1	2
1	0	0	0	147
1	0	1	1	0
1	0	1	0	138
1	0	2	1	1
1	0	2	0	141
1	1	0	1	1
1	1	0	0	145
1	1	1	1	1
1	1	1	0	125
1	1	2	1	2
1	1	2	0	134
1	2	0	1	0
1	2	0	0	136
1	2	1	1	3
1	2	1	0	127
1	2	2	1	0
1	2	2	0	142
1	3	2	1	1
1	3	2	0	121
1	3	1	1	0
1	3	1	0	138
1	3	0	1	0
1	3	0	0	129
