nationality	level	adaptation	story_read	frequency
0	0	0	1	14
0	0	0	0	496
0	0	1	1	2
0	0	1	0	531
0	0	2	1	8
0	0	2	0	509
0	1	0	1	3
0	1	0	0	578
0	1	1	1	8
0	1	1	0	497
0	1	2	1	5
0	1	2	0	547
0	2	0	1	4
0	2	0	0	482
0	2	1	1	4
0	2	1	0	495
0	2	2	1	2
0	2	2	0	512
0	3	0	1	1
0	3	0	0	546
0	3	1	1	2
0	3	1	0	531
0	3	2	1	4
0	3	2	0	576
1	0	0	1	2
1	0	0	0	147
1	0	1	1	0
1	0	1	0	138
1	0	2	1	1
1	0	2	0	141
1	1	0	1	1
1	1	0	0	145
1	1	1	1	1
1	1	1	0	125
1	1	2	1	2
1	1	2	0	134
1	2	0	1	1
1	2	0	0	135
1	2	1	1	1
1	2	1	0	129
1	2	2	1	0
1	2	2	0	142
1	3	2	1	1
1	3	2	0	121
1	3	1	1	0
1	3	1	0	138
1	3	0	1	0
1	3	0	0	129
