nationality	level	adaptation	story_read	frequency
0	0	0	1	50
0	0	0	0	460
0	0	1	1	69
0	0	1	0	464
0	0	2	1	74
0	0	2	0	443
0	1	0	1	70
0	1	0	0	511
0	1	1	1	70
0	1	1	0	435
0	1	2	1	67
0	1	2	0	485
0	2	0	1	62
0	2	0	0	424
0	2	1	1	63
0	2	1	0	436
0	2	2	1	51
0	2	2	0	463
0	3	0	1	58
0	3	0	0	489
0	3	1	1	69
0	3	1	0	464
0	3	2	1	61
0	3	2	0	519
1	0	0	1	26
1	0	0	0	123
1	0	1	1	21
1	0	1	0	117
1	0	2	1	16
1	0	2	0	126
1	1	0	1	17
1	1	0	0	129
1	1	1	1	16
1	1	1	0	110
1	1	2	1	24
1	1	2	0	112
1	2	0	1	16
1	2	0	0	120
1	2	1	1	17
1	2	1	0	113
1	2	2	1	18
1	2	2	0	124
1	3	2	1	14
1	3	2	0	108
1	3	1	1	21
1	3	1	0	117
1	3	0	1	15
1	3	0	0	114
